song,Artist,Genres,Songwriter,Lyrics,
A Sorta Fairytale,Tori Amos,"art pop,ectofolk,lilith,melancholia,new wave pop,permanent wave,piano rock,pop rock,singer-songwriter",Tori Amos,"On my way up north
Up on the Ventura
Pulled back the hood
And I was talking to you
And I knew then it would be
A life long thing
But I didn't know that we
We could break a silver lining
And I'm so sad
Like a good book
I can't put this day back
A sorta fairytale with you (a sorta fairytale with you)
A sorta fairytale with you
Things you said that day
Up on the one-oh-one
The girl come undone
I tried to downplay it
With a bet about us
You said that you'd take it
As long as I could
I could not erase it
And I'm so sad
Like a good book
I can't put this day back
A sorta fairytale with you
A sorta fairytale with you
And I ride alongside you then
And I rode alongside you then
And I rode along side 'till you lost me there in the open road
And I rode along side till the honey spread itself so thin
For me to break your bread
For me to take your word
I had to steal it
And I'm so sad
Like a good book
I can't put this day back
A sorta fairytale with you (a sorta fairytale with you)
I could pick back up whenever I feel
Down New Mexico way
Something about the open road
I knew that he was looking for some Indian blood and
Find a little in you find a little in me
we may be on this road but
We're just impostors in this country you know
So we go along and we said we'd fake it
Feel better with Oliver Stone
Till I almost smacked him seemed right that night and
I don't know what takes hold
Out there in the desert cold
These guys think they must
Try and just get over on us
And I'm so sad
Like a good book
I can't put this day back
A sorta fairytale with you (A sorta fairytale with you
A sorta fairytale with you
And I was ridin' by
Ridin' along side
For a while till you lost me
And I was ridin' by
Ridin' along till you lost me
'Till you lost Me in The rear view
You lost me I said
Way up North I took my day
All in all was a pretty nice day and
I put the hood right back where
You could taste heaven perfectly
Feel out the summer breeze
Didn't know when we'd be back and I
I don't, didn't think
We'd end up like
Like this",
Oh No She Better Don't,"RuPaul,DJ ShyBoy,the Cast of RuPaul's Drag Race season 6","dance pop,diva house,pop,strut","Lucian Piane, Rupaul, Season 6 cast","Oh no, she better don't
Oh no, she better don't
Oh no, she better don't
Oh no, she better don't
Oh no, she better don't
Oh no, she better don't
Oh no, she better don't
Oh no, she better don't
It's your girl Joslyn and I'm the fox
Heads turn, neck break
When this bitch walks
Always keep my nose clean
But for me the boys fiend
Try me, b-tch
I'm a motherfishin' Drag queen
Well, this is Dela to the creme
I'm the fatal femme
But I got the candy coatin'
So they call me creminem
That's creme au frances
Voulez want to couche
I back four fly ladies who be comin' your way
Check it
Just take a second to see how this goes
Rhinestones, big hair, gown to the floor
Tonight I'm gonna make history
Don't even try to come for me
My flow is such a mystery
I am your girl, T.K.B
Never been the in-girl since she came out
Milk shudders in her udders we're the easy way out
If you're lookin' or a dude
Or in the preggers mood
Milk is in the house
And then other b-tches who
Oh no, she better don't
Oh no, she better don't
Oh no, she better don't
Oh no, she better don't
Oh no, she better don't
Oh no, she better don't
Oh no, she better don't
Oh no, she better don't
Laganja's on the track and y'all can't handle me
I'm bustin' through that door and smokin' on that tree
Panty ho-s and control top D
Givin' you body you all livin' for me
Big girl while you all in bare feet
Walkin' down the dirty city street
Keep your shoes on, honey
To make that money
'Cause your toenail draggin'
And that sure ain't funny
My name is Bianca I'm from the deep south
All them b-tches can't handle my sassy as- mouth
I like to say it fast
I like to say it quick
I'm a call your as- chimney
'Cause you look like a brick
My name's says it all
Ain't no need to try to force it
Look at my body in this brand new corset
Men turn around
Pants comin' down
Go home, ho-s
Where my drag race crown?
Look like Glenda
And walk like Naomi
Get messed up like Kate
And you don't even know me
Lookin' like this is
A goddamn stunt
All you other b-tches better lick my, foot!
She feelin' some type of way
Oh no, she better don't
Oh no, she better don't
Oh no, she better don't
Oh no, she better don't
Oh no, she better don't
Oh no, she better don't
Oh no, she better don't
Oh no, she better don't
(Oh no, she better don't)",
Never,Heart,"album rock,classic rock,hard rock,heartland rock,mellow gold,new wave pop,rock,soft rock","Holly Knight, Ann Wilson, Nancy Wilson","Whoo-hoo, oh yeah!
Whoa-oh ooh-oh, ooh-oh, ooh-oh
Whoa-oh ooh-oh, ooh-oh, ooh-oh
Hey baby I'm talkin' to you
Stop yourself and listen
Some things you can never choose
Even if you try, yeah
You're bangin' your head again
'Cause somebody won't let you in
One chance, one love
Your chance to let me know
We can't go on
Just running away
If we stay any longer
We will surely never get away
Whoa-ooh-oh
Anything you want we can make it happen
Stand up and turn around
Never let them shoot us down
Never
Never
Never
Never run away
Hey baby, you know it's true
Why you bother lyin'?
When you know that, that you want it too
Don't you dare deny me
Now walk those legs right over here
Gimme what I'm dyin' for
One chance, one love
Hold me down, then let me go
We can't go on
Just running away
If we wait any longer
We will surely never get away
Whoa-ooh-oh
Anything you want we can make it happen
Stand up and turn around
Never let them shoot us down
Never (oh)
Never (no!)
Never
Never run away
Never (no, never)
Never
Never (no, no, no, no)
Never run away
Hey baby I'm talkin' to you
Stop yourself and listen
Some things you can never, never choose
Even if you try, yeah
You're bangin' your head again
'Cause somebody won't let you in
One chance, one love
Your chance to let me know
We can't go on
Just running away
If we stay any longer
We will surely never get away
Whoa-ooh-oh
Never
Whoa-ooh-oh
Never
We can't go on
Never
We can't go on
Never
Whoa-ooh-oh
Ne, ne, ne, never
Whoa-ooh-oh
(Never, never) never
We can't go on (we can't go, we can't go on) never
We can't go on (we can't go, we can't go on, baby) never
Whoa-ooh-oh
never
Whoa-ooh-oh
Never (never, never, never)",
(There's Gotta Be) More To Life,Stacie Orrico,"candy pop,dance pop,post-teen pop",Stacie Orrico,"Yea, yea
Oh ohh, yeaaa
I've got it all
But I feel so deprived
I go up I come down, and I'm emptier inside
Tell me what is this thing that I feel like I'm missing
And why can't I let it go
There's gotta be more to life
Than chasing down every temporary high
To satisfy me
'Cause the more that I'm
Tripping out thinking there must be more to life
Well it's life but I'm sure
There's gotta be more
Than wanting more
I've got the time and I'm wasting it slowly
Here in this moment I'm half way out the door
Onto the next thing, I'm searching for something that's missing
There's gotta be more to life...
Than chasing down every temporary high to satisfy me
Cause the more that I'm...
Tripping out thinking there must be more to life
Well it's life, but I'm sure... there's gotta be more...
I'm wanting more...
I'm always waiting on something other than this
Why am I feelin' like there's something I missed...
There's gotta be more to life...
Than chasing down every temporary high to satisfy me
Cause the more that I'm...
Tripping out thinking there must be more to life
Well it's life, but I'm sure... there's gotta be more to life...
Than chasing down every temporary high to satisfy me
Cause the more that I'm...
Tripping out thinking there must be more to life
Well it's life, but I'm sure... there's gotta be more to life... life.
Ohh... more to... more to... more to life
There's gotta be more to life
Ohh... more to life... there's gotta be more to life... ohhh
More to life",
Taxi Ride,Tori Amos,"art pop,ectofolk,lilith,melancholia,new wave pop,permanent wave,piano rock,pop rock,singer-songwriter",Tori Amos,"Lily is dancing
On the table
We've all been
Pushed
Too far
I guess on days
Like this
You know who your
Friends are
Just another dead fag
To you that's all
Just another light missing
On a long taxi ride
Taxi ride
And I'm down to
Your last cigarette and
This ""we are one"" crap
As you're invading
This thing you call
Love - she smiles
Way too much but
I'm glad you're
On my side, sure
I'm glad you're on
My side still
You think you deserve
A trust fund
Just because you
Want one
Sure you talk the talk
When you need to
I fear
The whole world is
Starting to
Believe you
Just another dead fag
To you that's all
Just another light missing
In a long taxi line
Taxi line
And I'm down to
Your last cigarette and
This ""we are one"" crap
As you're invading
This thing you call
Love - she smiles
Way too much but
I'm glad you're
On my side, sure
I'm glad you're on
My side still
Lily is dancing
On the
Table
We've all been pushed
Too far today
Even a glamorous
Bitch can be in
Need
This is where you know
The honey
From the
Killer bees
I'm glad you're on
My side
Sure
I'm glad you're on
My side
Sure
I'm glad you're on
My side still
Got a long taxi ride
Got a long taxi ride",
Wrong Impression,Natalie Imbruglia,"australian pop,dance pop,europop,lilith,new wave pop,pop rock","Natalie Imbruglia, Gary Clark","Calling out, calling out
Have you ever wondered
Why I'm always alone when you're in my dreams
Calling out, calling out
Have you ever wondered
What we could have been if you'd only let me in
I want you, but I want you to understand
I need you I love you
Didn't want to leave you with the wrong impression
Didn't want to leave you with my last confession,
Yeah, of love
Wasn't tryin' to pull you in the wrong direction
All I want to do is try to make a connection yeah
Fallng out, fallin' out
Have you ever wondered, if this was ever more
Than a crazy idea
Falling out, falling out
Have you ever wondered
I want you, but I want you to understand
I need I love you
Didn't want to leave you with the wrong impression
Didn't want to leave you with my last confession,
Yeah, of love
Wasn't tryin' to pull you in the wrong direction
All I want to do is try to make a connection yeah",
Hands Clean,Alanis Morissette,"canadian pop,canadian singer-songwriter,lilith,pop rock,singer-songwriter",Alanis Morissette,"If it weren't for your maturity, none of this would have happened
If you weren't so wise beyond your years
I would've been able to control myself
If it weren't for my attention, you wouldn't have been successful and if
If it weren't for me you would never have amounted to very much
Ooh, this could be messy but
But you don't seem to mind and
Ooh, don't go telling everybody
And overlook this supposed crime
We'll fast forward to a few years later
And no one knows except the both of us
And I have honored your request for silence
And you've washed your hands clean of this
You're essentially my employee and I like you having to depend on me
You're kind of my protege and one day
You'll say you learned all you know from me
I know you depend on me like a young thing would to a guardian
I know you sexualize me like a young thing would and I think I like it
Ooh, this could get messy but
Ooh, you don't seem to mind
Dude, don't go telling everybody
And overlook this supposed crime
We'll fast forward to a few years later
And no one knows except the both of us
I've more than honored your request for silence
And you've washed your hands clean of this
What part of our history's reinvented and under rug swept?
What part of your memory is selective and tends to forget?
What with this distance it seems so obvious
Just make sure you don't tell on me, especially to members of your family
We best keep this to ourselves and not tell any members of our inner posse
I wish I could tell the world
'Cause you're such a pretty thing when you're done up properly
I might want to marry you one day if you watch that weight and keep your firm body
Ooh, this could be messy and
Ooh, I don't seem to mind
Ooh, don't go telling everybody
And overlook this supposed crime
We'll fast forward to a few years later
And no one knows except the both of us
And I have honored your request for silence
And you've washed your hands clean of this
Ooh, this could get messy but
Ooh, I don't seem to mind
Ooh, don't go telling everybody
And overlook this supposed crime
We'll fast forward to a few years later
And no one knows except the both of us
And I have honored your request for silence
And you've washed your hands clean of this",
Why,Carly Simon,"adult standards,classic rock,classic uk pop,country rock,folk,folk rock,mellow gold,soft rock",Carly Simon,"La-di-da-di-da
La-di-da-di-da
La-di-da-di-da
La-di-da-di-da
Why does your love hurt so much?
Why?
Why does your love hurt so much?
Don't know why
You know I loved you baby
But all the while, you just betrayed me
In the warmth of our bed
All the things that you said were
La-di-da-di-da
La-di-da-di-da
La-di-da-di-da
La-di-da-di-da
Why does your love hurt so much?
Why?
Why does your love hurt so much?
Don't know why
You said our love was sacred
But you left me alone to make it
You want to come back again someday
But, darling, here's what I say
La-di-da-di-da
La-di-da-di-da
La-di-da-di-da
La-di-da-di-da
Why does your love hurt so much?
Why?
Why does your love hurt so much?
La-di-da-di-da
La-di-da-di-da
La-di-da-di-da
La-di-da-di-da
Why, why does your love hurt so much?
You say you'll come back again someday
But, darling, here's what I say
La-di-da-di-da
La-di-da-di-da
Why does your love hurt so much?
Don't know why
Why does your love hurt so much?",
What Took You So Long?,Emma Bunton,"bubblegum dance,dance pop,europop","Emma Bunton,Richard Stannard,Julian Gallagher,Martin Harrington,John Themis,Dave Morgan","Yeah, yeah, yeah
Oh talk to me, can't you see
I'll help you work things out
Oh don't wannabe your enemy
And I don't wanna scream and shout
Cos baby I believe in honesty
A man that's stong and true
I shouldn't have to say now baby
That I believe in you
What took you so long
What took you all night
What took you forever to see I'm right
You know I treat you so good
I make you feel fine
And no I'll never give it up this time
No, no, no
Oh you touched my heart, right from the start
You didn't know what to say
But honey understand, when you take my hand
Everything's okay
Cos baby I believe reality
It's never far away
I've had enough, so listen baby
I've got something to say
What took you so long
What took you all night
What took you forever to see I'm right
You know I treat you so good
I make you feel fine
You know I'll never give it up this time
What took you so long (what took you so long)
What took you all night (what took you all night)
What took you forever to see I'm right
You know I treat you so good (I treat you so good)
I make you feel fine (I make you feel fine)
You know I'll never give it up this time
No, no, no
No, no, no (no, no, no)
Oh whoa
Oh whoa
Baby I believe in honesty
And then be strong and true
I shouldn't have to say now baby
That I believe in you
What took you so long
What took you all night
What took you forever to see I'm right
I make you feel fine
You know I treat you so good
You know I'll never give it up this time
What took you so long (what took you so long)
What took you all night (what took you all night)
What took you forever to see I'm right
You know I treat you so good
I make you feel fine (I make you feel fine)
You know I'll never give it up this time
What took you so long (what took you so long)
What took you all night (what took you all night)
What took you forever to see I'm right
You know I treat you so good
I make you feel fine (I make you feel fine)
You know I'll never give it up this time
No, no, no",
Deciphering Me,Brooke Fraser,"nz christian,nz pop,worship",Brooke Fraser,"Friend, it's getting late
We should be going
We've been sat here beneath these flickering neons for hours
while I am cracking their code, you are deciphering me
for i am a mystery, I am a locked room in a tall tower
Oh can you feel the gravity falling, calling us home?
Oh, did you see the stars colliding, shining just to show we belong?
We belong.
Your telescope eyes see everything clearly
My vision is blurred but i know what i heard echoing all around
while I am tuning you in, you are deciphering me
not such a mystery, not such a faint in a far away sound
Oh can you feel the gravity falling, calling us home?
Oh, did you see the stars colliding, shining just to show we belong?
We belong.
It's love, it's love that holds us
We will be alright
It's truth, it's truth that shows us
If we'll walk in it's (his) light
Oh can you feel the gravity falling, calling us home?
Oh, did you see the stars colliding, shining just to show we belong?
Oh can you feel the gravity falling, calling us home? (we belong)
Oh, did you see the stars colliding, shining goes to show we belong?",
Here I Am,Marion Ravn,"candy pop,norwegian pop",Marion Ravn,"I'll protect you, don't be scared
No matter what, I will be there
I'll be gentle, I'll be light
These are the words you whispered in the night.
Here I am, here I am
Now I'm standing in the cold
(Everything is said and done)
Atomic winter in my soul
(From the absence of the sun)
The only remedy I know
Is I gotta let you go
So here I am
(Everything is said and done)
Yeah
(From the absence of the sun)
The only remedy I know
Is I gotta let you go
So here I am, here I am.",
You're so Vain,Carly Simon,"adult standards,classic rock,classic uk pop,country rock,folk,folk rock,mellow gold,soft rock",Carly Simon,"Son of a gun
You walked into the party like you were walking onto a yacht
Your hat strategically dipped below one eye
Your scarf it was apricot
You had one eye in the mirror, as you watched yourself gavotte
And all the girls dreamed that they'd be your partner
They'd be your partner and
You're so vain
You probably think this song is about you
You're so vain (you're so vain)
I bet you think this song is about you
Don't you don't you?
You had me several years ago when I was still quite naive
Well you said that we made such a pretty pair and that you would never leave
But you gave away the things you loved
And one of them was me
I had some dreams they were clouds in my coffee clouds in my coffee and
You're so vain
You probably think this song is about you
You're so vain (you're so vain)
I bet you think this song is about you
Don't you don't you don't you?
I had some dreams they were clouds in my coffee clouds in my coffee and
You're so vain
You probably think this song is about you
You're so vain (you're so vain)
I bet you think this song is about you
Don't you don't you?
Well I hear you went up to Saratoga
And your horse naturally won
Then you flew your lear jet up to Nova Scotia
To see the total eclipse of the sun
Well you're where you should be all the time
And when you're not, you're with some underworld spy
Or the wife of a close friend wife of a close friend and
You're so vain
You probably think this song is about you
You're so vain (so vain)
I bet you think this song is about you
Don't you don't you don't you?
You're so vain
You probably think this song is about you
You're so vain
Probably think this song about you
You're so vain",
Cake By The Ocean,DNCE,"dance pop,pop,post-teen pop","Joe Jonas, Justin Tranter, Mattias Larsson, Robin Fredriksson","Nah, nah, yeah
(Cake by the ocean)
Oh, no
See you walkin' 'round like it's a funeral
Not so serious, girl, why those feet cold?
We just gettin' started, don't you tiptoe, tiptoe (ah)
Waste time with a masterpiece, don't waste time with a masterpiece (huh)
You should be rollin' with me, you should be rollin' with me (ah-ah-ah)
You're a real-life fantasy, you're a real-life fantasy (huh)
But you're movin' so carefully, let's start livin' dangerously
Talk to me, baby
I'm goin' blind from this sweet-sweet cravin', whoa-oh
Let's lose our minds and go fuckin' crazy
I-I-I-I-I-I keep on hopin' we'll eat cake by the ocean (uh)
Walk for me, baby
I'll be Diddy, you'll be Naomi, whoa-oh
Let's lose our minds and go fuckin' crazy
I-I-I-I-I-I keep on hopin' we'll eat cake by the ocean (uh)
Goddamn
See you lickin' frostin' from your own hands
Want another taste, I'm beggin', ""Yes, ma'am""
I'm tired of all this candy on the dry land, dry land, ooh
Waste time with a masterpiece, don't waste time with a masterpiece (huh)
You should be rollin' with me, you should be rollin' with me (ah-ah-ah)
You're a real-life fantasy, you're a real-life fantasy (huh)
But you're movin' so carefully, let's start livin' dangerously (whoa-oh)
Talk to me, baby
I'm goin' blind from this sweet-sweet cravin', whoa-oh
Let's lose our minds and go fuckin' crazy (ah)
I-I-I-I-I-I keep on hopin' we'll eat cake by the ocean (uh)
Walk for me, baby (walk for me now)
I'll be Diddy, you'll be Naomi, whoa-oh
Let's lose our minds and go fuckin' crazy
I-I-I-I-I-I keep on hopin' we'll eat cake by the ocean
Ooh, ah-ah
I-I-I-I-I-I keep on hopin' we'll eat cake by the ocean (uh)
Ooh, ah-ah
I-I-I-I-I-I keep on hopin' we'll eat cake by the ocean (uh)
Hey, you're fuckin' delicious
Talk to me, girl
Talk to me, baby (talk to me, baby)
I'm goin' blind from this sweet-sweet cravin', whoa-oh
Let's lose our minds and go fuckin' crazy
I-I-I-I-I-I keep on hopin' we'll eat cake by the ocean (hey) (uh)
Walk for me, baby (walk for me now)
I'll be Diddy, you'll be Naomi, whoa-oh
Let's lose our minds and go (and go what?), fuckin' crazy (that's right)
I-I-I-I-I-I keep on hopin' (I'm ready), we'll eat cake by the ocean (ah, yeah)
Red velvet, vanilla, chocolate in my life
Funfetti, I'm ready, I need it every night
Red velvet, vanilla, chocolate in my life
I-I-I-I-I-I keep on hopin' we'll eat cake by the ocean (uh)",
Fun,"Pitbull, Chris Brown","dance pop,latin,miami hip hop,pop,pop rap,r&b,rap","Armando Christian Perez, Jordan Johnson, Marcus Lomax, Jason Evigan, Stefan Johnson, Chris Brown, Clarence Coffee Jr., Alexander Izquierdo, Al Burna","Oh, feeling crazy
The moon is up, the night is hazy
Let's get lost in the shadows
Somewhere we can go
And no one else can find
Loosen up your body til' you come undone
Loosen up your body baby come undone
Loosen up your body til' you come undone
Loosen up your body baby come undone
Oh my my, looking like good-good time
Don't disguise
The way you wanna love tonight
Oh my my, hook you with a brand new high
Don't be shy, I just wanna live tonight
Live a little F.U.N, fun
Fresh from Monaco, preforming for Microsoft
Miami to L.A., G4, we takin' off
I'm a hard worker, I'm far from the boss
But when it's said and done, I'm owning it all
I know you think it's just rap
Just this, just that, haha, right
Nah baby, this my life
Wanna have fun for a night?
Then just
Loosen up your body baby til' you come undone
Loosen up your body baby come undone
Loosen up your body baby til' you come undone
Loosen up your body baby come undone
Oh my my, looking like good-good time
Don't disguise
The way you wanna love tonight
Oh my my, hook you with a brand new high
Don't be shy, I just wanna live tonight
Live a little F.U.N, fun
Co-headlining, on tour, with Enrique
Often casa gampo, who would've thought de que
Down in Key Largo, you know I'm on that sticky
Icky, icky, icky, icky
Don't do it much, but when I do, I'm gone
Don't take it all off, keep your heels and thong
Ah Mamì that turns me on
Now just listen to the song, and
Loosen up your body til' you come undone
Loosen up your body baby come undone
Loosen up your body til' you come undone
Loosen up your body baby come undone
Oh my my, looking like good good time
Don't disguise
The way you wanna love tonight
Oh my my, hook you with a brand new high
Don't be shy, I just wanna live tonight
Live a little F.U.N, fun
Come on Mamì, you know what it is
Come on baby, you know what it is
I wanna uh, let's go to the crib
And if you want, you can bring your friends
Come on Mamì, you know what it is
Come on baby, you know what it is
I wanna uh, let's go to the crib
And if you want, you can bring your friends
And we can F.U.N., fun
Loosen up your body til' you come undone
Loosen up your body baby come undone
Loosen up your body til' you come undone
Loosen up your body baby come undone",
Good as Hell,Lizzo,"dance pop,escape room,minnesota hip hop,pop,trap queen","Eric Frederic, Melissa Jefferson","I do my hair toss
Check my nails
Baby how you feelin'?
Feeling good as hell
Hair toss
Check my nails
Baby how you feelin'?
Feeling good as hell
Woo child, tired of the bullshit
Go on dust your shoulders off, keep it moving
Yes Lord, tryna get some new shit
In there, swimwear, going to the pool shit
Come now, come dry your eyes
You know you a star, you can touch the sky
I know that it's hard but you have to try
If you need advice, let me simplify
If he don't love you anymore
Just walk your fine ass out the door
I do my hair toss
Check my nails
Baby how you feelin'?
Feeling good as hell
Hair toss
Check my nails
Baby how you feelin'?
Feeling good as hell
Feeling good as hell
Baby how you feelin'?
Feeling good as hell
Woo girl, need to kick off your shoes
Got to take a deep breath, time to focus on you
All the big fights, long nights that you been through
I got a bottle of Tequila I been saving for you
Boss up and change your life
You can have it all, no sacrifice
I know he did you wrong, we can make it right
So go and let it all hang out tonight
'Cause he don't love you anymore
So walk your fine ass out the door
And do your hair toss
Check my nails
Baby how you feelin'?
Feeling good as hell
Hair toss
Check my nails
Baby how you feelin'?
Feeling good as hell
Hair toss
Check my nails
Baby how you feelin'?
Feeling good as hell
Hair toss
Check my nails
Baby how you feelin'?
Feeling good as hell
Listen, if he don't love you anymore
Then walk your fine ass out the door
And do your hair toss
Check my nails
Baby how you feelin'?
Feeling good as hell
Hair toss
Check my nails
Baby how you feelin'?
Feeling good as hell
Hair toss
Check my nails
Baby how you feelin'?
Feeling good as hell
Hair toss
Check my nails
Baby how you feelin'
Feeling good as hell
Feeling good as hell
Baby how you feelin'?
Feeling good as hell",
I Can't Make You Love Me,Bonnie Raitt,"classic rock,country rock,electric blues,folk,folk rock,lilith,mellow gold,rock,roots rock,singer-songwriter,soft rock",Bonnie Raitt,"Turn down the lights
Turn down the bed
Turn down these voices inside my head
Lay down with me
Tell me no lies
Just hold me close, don't patronize
Don't patronize me
'Cause I can't make you love me if you don't
You can't make your heart feel something it won't
Here in the dark, in these final hours
I will lay down my heart and I'll feel the power
But you won't, no you won't
'Cause I can't make you love me, if you don't
I'll close my eyes, then I won't see
The love you don't feel when you're holding me
Morning will come and I'll do what's right
Just give me till then to give up this fight
And I will give up this fight
'Cause I can't make you love me if you don't
You can't make your heart feel something it won't
Here in the dark, in these final hours
I will lay down my heart and I'll feel the power
But you won't, no you won't
'Cause I can't make you love me, if you don't",
That Don't Impress Me Much,Shania Twain,"canadian country,canadian pop,country,country dawn,dance pop","Robert John Lange, Shania Twain","I've known a few guys who thought they were pretty smart
But you've got being right down to an art
You think you're a genius
You drive me up the wall
You're a regular original know-it-all
Oh-oo-oh, you think you're special
Oh-oo-oh, you think you're something else
Okay, so you're a rocket scientist
That don't impress me much
So you got the brains, but have you got the touch
Now don't get me wrong, I think you're alright
But that won't keep me warm in the middle of the night
That don't impress me much
Ah-huh, yeah yeah
I never knew a guy who carried a mirror in his pocket
And a comb up his sleeve - just in case
And all that extra hold gel in your hair oughtta lock it
'Cause Heaven forbid it should fall out of place
Oh-oo-oh, you think you're special
Oh-oo-oh, you think you're something else
Okay, so you're Brad Pitt
That don't impress me much
So you got the looks, but have you got the touch
Now don't get me wrong, yeah, I think you're alright
But that won't keep me warm in the middle of the night
That don't impress me much
Yeah!
You're one of those guys that likes to shine his machine
You'll make me take off my shoes before you let me get in
I can't believe you kiss your car good night
Now c'mon, baby, tell me - you must be joking right!
Oh-oo-oh, you think you're special
Oh-oo-oh, you think you're something else
Okay, so you've got a car
That don't impress me much
So you got the moves, but have you got the touch
Now don't get me wrong, yeah, I think you're alright
But that won't keep me warm in the middle of the night
That don't impress me much
Oh, now ou think you're cool but have you got the touch?
Now don't get me wrong, yeah, I think you're alright
But that won't keep me warm on the long, cold, lonely night
That don't impress me much
Ah-huh, yeah yeah
Okay, so what do you think, you're Elvis or something?
That don't impress me much
Oh no
That don't impress me much
Oh no
Yeah, woo!
Oh no, alright, alright
You're Tarzan
Captain Kirk maybe?
John Wayne?
Whatever, nuh-uh
That don't impress me much",
Wake Up,Alanis Morissette,"canadian pop,canadian singer-songwriter,lilith,pop rock,singer-songwriter","Glen Ballard, Alanis Morissette","You like snow, but only if it's warm
You like rain, but only if it's dry
There's no sentimental value to the rose that fell on your floor
There's no fundamental excuse for the granted I'm taken for
'Cause it's easy not to
So much easier not to
And what goes around never comes around to you
To you
You like pain but only if it doesn't hurt too much
And you sit, and you wait, to receive
There's an obvious attraction
To the path of least resistance in your life
Well, there's an obvious aversion no amount of my insistence
Could make you try tonight
'Cause it's easy not to
So much easier not to
And what goes around never comes around to you
To you, to you, to you, to you, to you
There's no love, no money, no thrill anymore
Well, there's an apprehensive, naked, little trembling boy
With his head in his hands
And there's an underestimated and impatient little girl
Raising her hand
But it's easy not to
So much easier not to
And what goes around never comes around to you
To you, to you
Get up, get up, get up off of it
Get up, get up, get up off of it
Get out, get outta here, enough already
Get up, get up, get up off of it
Wake up",
I Touch Myself,Divinyls,"australian alternative rock,australian rock,new wave pop","
Christina Amphlett, Mark McEntee, Tom Kelly, Billy Steinberg","I love myself
I want you to love me
When I feel down
I want you above me
I search myself
I want you to find me
I forget myself
I want you to remind me
I don't want anybody else
When I think about you
I touch myself
Oh, I don't want anybody else
Oh no, oh no, oh no
You're the one who makes me come runnin'
You're the sun who makes me shine
When you're around, I'm always laughin'
I want to make you mine
I close my eyes
And see you before me
Think I would die
If you were to ignore me
A fool could see
Just how much I adore you
I'd get down on my knees
I'd do anything for you
I don't want anybody else
When I think about you
I touch myself
Oh, I don't want anybody else
Oh no, oh no, oh no, yeah
I love myself
I want you to love me
When I feel down
I want you above me
I search myself
I want you to find me
I forget myself
I want you to remind me
I don't want anybody else
When I think about you
I touch myself
Oh, I don't want anybody else
Oh no, oh no, oh no
I want you
I don't want anybody else
And when I think about you
I touch myself
Ooh
Ooh
Ooh-ooh
Ah-ah-ah-ah-ah-ah-ah-ah
I don't want anybody else
When I think about you
I touch myself
Oh, I don't want anybody else
When I think about you
I touch myself
I touch myself (I don't want)
I touch myself (Anybody else)
I touch myself (When I think about you)
I touch myself
I touch myself (I don't want)
I touch myself (Anybody else)
I touch myself (When I think about you)
I honestly do
I touch myself (I don't want)
I touch myself (Anybody else)
I touch myself (When I think about you)
I honestly do
I touch myself
I touch myself
I touch myself",
Unbalance na Kiss wo Shite,Hiro Takahashi,japanese singer-songwriter,Hiro Takahashi,"Wareta kagami no naka utsuru kimi no sugata
Naite iru Naite iru
Hosoi tsuki no nazoru yubi
Dare wo yonde iru no kieta koi no senaka
Nando demo Nando demo
Kimi no mado wo tataku kara
Yoru no kasokudo ni senaka osarete
Ito ga kireru you ni
Tada, kimi wo kimi wo tsuyoku daite 'ta
Anbaransu na Kiss wo kawashite
Ai ni chikazuke yo
Kimi no namida mo kanashii uso mo
Boku no kokoro ni nemure
Kinou e no Merry-go-round kimi wo hakonde yuku
Tometakute Tometakute
Boku wa kagi wo sagashite 'ru
Kuzureochisou na sora wo sasaete
Hitori tachitsukusu
Tada, kimi no kimi no soba ni itai yo
Anbaransu Kiss de kakareta
Futari no shinario
Ai to yobu hodo tsuyoku nakute mo
Kimi no subete ga itai
Tada, kimi no kimi no soba ni itai yo
Anbaransu na Kiss wo kawashite
Ai ni chikazuke yo
Kimi no namida mo kanashii uso mo
Boku no kokoro ni nemure
Kimi no kokoro ga boku no yobu made
Dakishimeaeru hi made",
