song,Artist,Genres,Songwriter,Lyrics,
I Really Like You,Carly Rae Jepsen,"canadian pop,dance pop,electropop,indie poptimism,pop,post-teen pop",Carly Rae Jepsen,"I really wanna stop, but I just got the taste for it
I feel like I could fly with the boy on the moon
So, honey, hold my hand, you like making me wait for it
I feel like I could die walking up to the room, oh yeah
Late night, watching television
But how'd we get in this position?
It's way too soon, I know this isn't love
But I need to tell you something
I really, really, really, really, really, really like you
And I want you, do you want me, do you want me, too?
I really, really, really, really, really, really like you
And I want you, do you want me, do you want me, too?
Oh, did I say too much?
I'm so in my head
When we're out of touch
I really, really, really, really, really, really like you
And I want you, do you want me, do you want me, too?
It's like everything you say is a sweet revelation
All I wanna do is get into your head
Yeah, we could stay alone, you and me in this temptation
Sipping on your lips, hanging on by thread, baby
Late night watching television
But how we get in this position?
It's way too soon, I know this isn't love
But I need to tell you something
I really, really, really, really, really, really like you
And I want you, do you want me, do you want me, too?
I really, really, really, really, really, really like you
And I want you, do you want me, do you want me, too?
Oh, did I say too much?
I'm so in my head, when we're out of touch
I really really really really really really like you
And I want you, do you want me, do you want me, too?
Who gave you eyes like that?
Said you could keep them
I don't know how to act
Or if I should be leaving
I'm running out of time
Going out of my mind
I need to tell you something
Yeah, I need to tell you something, yeah!
I really, really, really, really, really, really like you
And I want you, do you want me, do you want me, too?
I really, really, really, really, really, really like you
And I want you, do you want me, do you want me, too?
Oh, did I say too much?
I'm so in my head, when we're out of touch
I really really really really really really like you
And I want you, do you want me, do you want me, too?
Yeah! (I really, really, really, really, really, really like you)
(And I want you, do you want me)
Yeah I need to tell you something (Do you want me, too?)
I really, really, really, really, really, really like you
And I want you, do you want me, do you want me, too?",
Silent All These Years,Tori Amos,"art pop,ectofolk,lilith,melancholia,new wave pop,permanent wave,piano rock,pop rock,singer-songwriter",Tori Amos,"Excuse me, but can I be you for a while
My dog won't bite if you sit real still
I got the Anti-Christ in the kitchen yellin' at me again
Yeah, I can hear that
Been saved again by the garbage truck
I got something to say, you know, but nothing comes
Yes, I know what you think of me, you never shut up
Yeah, I can hear that
But what if I'm a mermaid, in these jeans of his with her name still on it
Hey, but I don't care 'cause sometimes, I said sometimes I hear my voice.
And it's been here silent all these years
So you found a girl who thinks really deep thoughts
What's so amazing about really deep thoughts
Boy you best pray that I bleed real soon
How's that thought for you
My scream got lost in a paper cup
You think there's a heaven where some screams have gone
I got twenty-five bucks an' a cracker
Do you think it's enough to get us there
Cause what if I'm a mermaid, in these jeans of his with her name still on it
Hey, but I don't care 'cause sometimes, I said sometimes I hear my voice
And it's been here silent all these
Years go by, will I still be waiting for somebody else to understand
Years go by, if I'm stripped of my beauty and the orange clouds raining in my head
Years go by, will I choke on my tears 'til, finally there is nothing left
One more casualty, you know we're too easy, easy, easy
Well, I love the way we communicate
Your eyes focus on my funny lip shape
Let's hear what you think of me now
But, baby, don't look up- the sky is falling
Your mother shows up in a nasty dress
Hmm, it's your turn now to stand where I stand
Everybody lookin' at you, here taken hold of my hand
Yeah, I can hear them
But what if I'm a mermaid in these jeans of yours with her name still on it
Hey, but I don't care 'cause sometimes, I said sometimes I hear my voice
I hear my voice, I hear my voice, and it's been here
Silent all these years. I've been here silent all these years
Silent all these, silent all these years",
Love Hurts,Incubus,"alternative metal,alternative rock,funk metal,funk rock,nu metal,pop rock,post-grunge,rock","Brandon Boyd, Mike Einziger, Ben Kenney, Chris Kilmore, José Pasillas","Tonight we drink to youth
And holding fast to truth
Don't want to lose what I had as a boy
My heart still has a beat
But love is now a feat
As common as a cold day in LA
Sometimes at night alone I wonder
Is there a spell that I am under
Keeping me from seeing the real thing?
Love hurts
But sometimes it's a good hurt and it feels like I'm alive
Love sings
When it transcends the bad things, have a heart and try me
'Cause without love I won't survive
I'm fettered and abused
Stand naked and accused
Should I surface this one-man submarine?
I only want the truth
So tonight we drink to youth
I'll never lose what I had as a boy
Sometimes at night alone I wonder
Is there a spell that I am under
Keeping me from seeing the real thing?
Love hurts
But sometimes it's a good hurt and it feels like I'm alive
Love sings
When it transcends the bad things
Have a heart and try me
'Cause without love I won't survive
Without love I won't survive
Love hurts
But sometimes it's a good hurt and it feels like I'm alive
Love sings
When it transcends the bad things
Have a heart and try me
'Cause without love I won't survive
Love hurts, oh it hurts
Without love I won't survive
Love hurts, oh, oh, it hurts
Without love I won't survive",
Dear Life,Chantal Kreviazuk,"canadian pop,candy pop,ectofolk,lilith,new wave pop,piano rock",Chantal Kreviazuk,"Ah ah ah ah ah ah ah
Ah ah ah ah ah ah ah
You'll never know how you run me down
And I don't even need you, no
And still you keep me holdin' on
Just for dear life
Ah ah ah ah ah ah ah
If you live a loveless life
Just blame it on me
On the count of oblivion
I'm guilty
Ah ah ah ah ah ah ah ah ah
No we've never been away from here
So we'll try to lose ourselves again
No we've never been away from here
So we'll try to lose ourselves again
I'm over playin' with your massive ego
Still I keep on holdin' on for dear life
Ah ah ah ah ah ah ah
Ah ah ah ah ah ah ah ah ah
No we've never been away from here
So we'll try to lose ourselves again
No we've never been away from here
So we'll try to lose ourselves again
When you're cold and under the covers
Does it ever bother you
Do you remember how warm the truth is
How can you live without it
No we've never been away from here
So we'll try to lose ourselves again
No we've never been away from here
So we'll try to lose ourselves again
We've never been away from here
So we'll try to lose ourselves again
We've never been away from here
So we'll try to lose ourselves again
Ah ah ah ah ah ah
Ah ah ah ah ah ah ah
Ah ah ah ah ah ah ah
Ah ah ah ah ah ah ah ah
Ah ah ah ah ah ah ah
Ah ah ah ah ah ah ah ah",
All I Wanna Do Is Make Love To You,Heart,"album rock,classic rock,hard rock,heartland rock,mellow gold,new wave pop,rock,soft rock",Robert John Lange,"It was a rainy night when he came into sight
Standing by the road, no umbrella, no coat
So I pulled up along side and I offered him a ride
He accepted with a smile so we drove for a while
I didn't ask him his name, this lonely boy in the rain
Fate tell me it's right, is this love at first sight?
Please don't make it wrong, just stay for the night
All I wanna do is make love to you
Say you will you want me, too
All I wanna do is make love to you
I've got lovin' arms to hold on to
So we found this hotel, it was a place I knew well
We made magic that night, oh, he did everything right
He brought the woman out of me, so many times, easily
And in the mornin' when he woke, all I left him was a note
I told him I am the flower, you are the seed
We walked in the garden, we planted a tree
Don't try to find me, please don't you dare
Just live in my memory, you'll always be there
All I wanna do is make love to you
One night of love was all we knew
All wanna do is make love to you
I've got lovin' arms to hold on to
Oh, ooh, we made love
Love like strangers
All night long
We made love
Then it happened one day, we came 'round the same way
You can imagine his surprise when he saw his own eyes
I said please, please understand
I'm in love with another man
And what he couldn't give me
Was the one little thing that you can
All I wanna do is make love to you
One night of love was all we knew
All I want to do is make love to you
C'mon, say you will, you want me, too
All I wanna do is make love to you
One night of love was all we knew
All I wanna do is make love to you
Say you will baby, you want me, too
All night long (all I wanna do is make love to you)
All night long (all I wanna do-)
All night long (all I wanna do is make love to you)
All night long (all I wanna do-)
All I wanna do (is make love to you)
All I wanna do-
All I wanna do-
All I wanna do-
All I wanna do is make love to you
One night of love was all we knew
(All I wanna do-)
(All I wanna do is make love to you)
All night long",
I Can't Go for That (No Can Do),Daryl Hall & John Oates,"album rock,classic rock,mellow gold,rock,soft rock,yacht rock","Daryl Hall, John Oates","Easy, ready, willing, overtime
Where does it stop
Where do you dare me
To draw the line
You've got the body
Now you want my soul
Don't even think about it
Say no go
I, I 'll do anything
That you want me to do
And I'll do almost anything
That you want me to, ooh
But I can't go for that, no (no) no can do
No, I can't go for that, no (no) no can do
I can't go for that, no (no) no can do
I can't go for that
Can't go for that
Can't go for that
Can't go for that
I can go for being twice as nice
I can go for just repeating
The same old lines
Use the body
Now you want my soul
Ooh, forget about it
Now say no go
I, I'll do anything
That you want me to do
I'll do almost anything
That you want me to
But I can't go for that, no (no) no can do
I can't go for that, no (no) no can do
I can't go for that, no (no) no can do
I can't go for that
Can't go for that
Can't go for that
Can't go for that
Yeah, I, I'll do anything
That you want me to do
And I'll do almost anything
That you want me to
But I can't go for that, no (no) no can do
I can't go for that, no (no) no can do
I can't go for that, no (no) no can do
I can't go for that
Can't go for that
Can't go for that
I can't go for that
No I can't go for that, no (no) no can do
I can't go for that, no no, no can do
I can't go for that, (no no no no) no I can't go for that
I can't go for that (no can do)
No can't do
I can't go for that (no no no no can't do)
I can't go for that
I can't go for that, yeah (no can do)
No, no, no, no, no, no",
Why Does It Always Rain On Me?,Travis,"britpop,pop rock,rock",Fran Healy,"I can't sleep tonight
Everybody's saying everything is alright
Still I can't close my eyes
I'm seeing a tunnel at the end of all of these lights
Sunny days, where have you gone?
I get the strangest feeling you belong
Why does it always rain on me?
Is it because I lied when I was seventeen?
Why does it always rain on me?
Even when the sun is shinning I can't avoid the lightning
I can't stand myself
I'm being held up by invisible men
Still life on a shelf when
I've got my mind on something else
Sunny days, oh, where have you gone?
I get the strangest feeling you belong
Why does it always rain on me?
Is it because I lied when I was seventeen?
Why does it always rain on me?
Even when the sun is shinning I can't avoid the lightning
Oh, where did the blue sky go?
Oh why is it raining so?
It's so cold
I can't sleep tonight
Everybody's saying everything is alright
Still I can't close my eyes
I'm seeing a tunnel at the end of all of these lights
Sunny days, oh, where have you gone?
I get the strangest feeling you belong
Why does it always rain on me?
Is it because I lied when I was seventeen?
Why does it always rain on me?
Even when the sun is shinning I can't avoid the lightning
Oh, where did the blue sky go?
And why is it raining so?
It's so cold
Why does it always rain on me?
Is it because I lied when I was seventeen?
Why does it always rain on me?
Even when the sun is shinning I can't avoid the lightning
Why does it always rain on me?
Why does it always rain on, on",
Free,Haley Reinhart,idol,Haley Reinhart,"It's not like I'm invisible, you still wear me under your skin
When we talk, we don't talk at all
Too weak to leave, too stubborn to give in
Who is gonna be the first to say a truce
It's not enough that we should part can't stop fighting too

We don't let go, we can't get close
I still need you, and you still need me
This tug of war can't go on anymore
Nobody wins from this misery, free
Well oh can't you see, I wanna be, I want you to be, free

It's not like she isn't loving you
It's just that you can't be alone for too long
I'd like to wish you all the happiness
Maybe the truth is, it will kill me if you move on
Who is gonna be the first to say enough
Who is gonna be the first one to find true love

We don't let go, we can't get close
I still need you, and you still need me
This tug of war can't go on anymore
Nobody wins from this misery, free
Well oh can't you see, I wanna be, I want you to be, free

Let it be, let it be just a beautiful memory
Anything that starts will have an ending
Let it go, let it go, yeah cause we both know this will only be over when we're free
Yeah, Oh, when we're free
Oh, I know, oh

We don't let go, we can't get close
I still need you, and you still need me
This tug of war can't go on anymore
Nobody wins from this misery, free
Well oh can't you see, I wanna be, I want you to be, whoa, free
I wanna be, I want you to be, oh can we be, free
Oh I wanna be free",
You Don't Belong,Daughtry,"alternative metal,neo mellow,pop rock,post-grunge",Chris Daughtry,"With time to kill and an empty tomb
I always find a way to pass the time with you
Dark and smoky rooms, I can hardly stand the fumes
Telling me that you mean no harm
You stand me up like a crutch, another arm
But only when I'm gone have I been away too long
No, you don't belong to me, I think you lied to me
And with my back against this wall, it's hard to be strong
No, you'd tell me anything, look what you've done to me
Still I tell myself that tomorrow you'll be long gone
Any given time or place I never will forget the disgrace on your face
So full of love, will it ever be enough?
Ten feet tall and bullet proof I never thought that I had a thing to lose
Well, it looks like after all, I'm gonna have to choose
No, you don't belong to me, I think you lied to me
And with my back against this wall, it's hard to be strong
No, you'd tell me anything, look what you've done to me
Still I tell myself that tomorrow you'll be long gone
You help pass the time, but I'm doing fine on my own
So there's no good reason why to live such a lie
Tell me have I been gone away too long?
No, you don't belong to me, I think you lied to me
And with my back against this wall, it's hard to be strong
No, you'd tell me anything, look what you've done to me
Still I tell myself that tomorrow you'll be long gone
You don't belong to me, I think you lied to me
With my back against this wall, it's hard to be strong
You'd tell me anything, look what you've done to me
Still I tell myself that tomorrow you'll be long gone
Long gone",
Maneater,Daryl Hall & John Oates,"album rock,classic rock,mellow gold,rock,soft rock,yacht rock","Daryl Hall, John Oates","She'll only come out at nights
The lean and hungry type
Nothing is new, I've seen her here before
Watching and waiting
Ooh, she's sitting with you but her eyes are on the door
So many have paid to see
What you think you're getting for free
The woman is wild, a she-cat tamed by the purr of a Jaguar
Money's the matter
If you're in it for love
You ain't gonna get too far
Watch out boy she'll chew you up
(Oh, here she comes)
She's a maneater
(Oh, here she comes)
Watch out boy she'll chew you up
(Oh, here she comes)
She's a maneater
I wouldn't if I were you
I know what she can do
She's deadly man, she could really rip your world apart
Mind over matter
Ooh, the beauty is there but a beast is in the heart
Watch out boy she'll chew you up
(Oh, here she comes)
She's a maneater
(Oh, here she comes)
Watch out boy she'll chew you up
(Oh, here she comes)
She's a maneater
Ooh
Oh, here she comes
Here she comes
Watch out boy she'll chew you up
Oh, here she comes
(Watch out)
She's a maneater
Oh, here she comes
(She's a maneater)
Ooh, she'll chew you up
(Oh, here she comes)
Here she comes, she's a maneater
(Oh, here she comes)
(Watch out)
She'll only come out at night, ooh
(Oh, here she comes)
Here she comes
She's a maneater
(Oh, here she comes)
(She's a maneater)
The woman is wild ooh
(Oh, here she comes)
Here she comes
Watch out boy, watch out boy
(Oh, here she comes)
Oh, watch out, watch out, watch out, watch out
(Oh, here she's comes)
Yeah yeah she's a maneater
(Oh, here she comes)
(She's a maneater)
She's watching and waiting ooh
(Oh, here she comes)
Oh, she's a maneater",
Shadow Feet,Brooke Fraser,"nz christian,nz pop,worship",Brooke Fraser,"Walking, stumbling on these shadowfeet
toward home, a land that I've never seen
I am changing: less and less asleep
made of different stuff than when i began
and i have sensed it all along
fast approaching is the day
when the world has fallen out from under me
I'll be found in you, still standing
when the sky rolls up and mountains fall on their knees
when time and space are through
I'll be found in you
Theres distraction buzzing in my head
saying in the shadows it's easier to stay
but I've heard rumors of true reality
whispers of a well-lit way
when the world has fallen out from under me
I'll be found in you, still standing
when the sky rolls up and mountains fall on their knees
when time and space are through
I'll be found in you
You make all things new
When the world has fallen out from under me
I'll be found in you, still standing
Every fear and accusation under my feet
when time and space are through
I'll be found in you",
NIGHTS LIKE THESE,"Ne-Yo,Romeo Santos","dance pop,pop,r&b,urban contemporary,bachata,latin","Ne-Yo,Romeo Santos","Oh, nights like these,
I live for nights like these,
Start me up a vodka tonic, sitting at the bar at a
Hole in the wall on the East Side
And the drinks don't cost me much and there's never anybody there
Incognito suits me just fine, yeah, yeah
A man with a guitar
Not tryna be a star
Stool and a small stage singing the pain away
Señorita get up and dance
Oh, nights like these,
I live for nights like these
When you ain't nobody but you, and I'm just me,
Hey, Now the lights won't glitz and glam
Just good vibes and good company
Oh, nights like these,
I live for nights like these
Sirvame un trago e' Negroni
La ocación esta perfecta puedo ser normal
Hoy deseo ser humano y desacatarme sin nadie opinar
Con la morena del vestido colorado quisiera bailar
(Hey solo escucha)
Una noche sin ser Romeo
Y me doy un baño del pueblo
Bailo, sudo, me emborracho
Yo bailaria una bachata, quemó a todas con un perreo.
Seria algo tan especial
Noches así que me hacen sentir
Son momentos que me incitan a vivir
No hay glamour, nadie es estrella, nadie pide ni un autógrafo
Por noches asi me escapó y soy feliz
Just tryna have a good night
Where ain't nobody worry 'bout a spotlight
I'm nobody, you're nobody
And it's alright, it's alright, it's alright, eh
I'm just tryna have a good night
Where ain't nobody worry 'bout a spotlight
I'm nobody, you're nobody
And it's alright, it's alright, it's alright, oh-oh
Oh, nights like these,
I live for nights like these
(Ooh, I live for nights like these)
When you ain't nobody but you, and I'm just me
(Nobody but you and I'm just me, whoa)
Now the lights won't glitz and glam
Just good vibes and good company
Oh, nights like these,
I live for nights like these
(Live for nights like these, ah)
Noches así que me hacen sentir
Son momentos que me incitan a vivir
No hay glamour, nadie es estrella, nadie pide ni un autógrafo
Oh, nights like these,
I live for nights like these",
All I Need,Barbie's Cradle,Filipino pop,Barbie Almalbis,"Inside of my heart is an army of angels
Just coz I let you go
Oh volunteers they are here to love and help me
Only coz ive said no
To the killer eyes
That invite me to do things
I would have to lie about
And its better now
We are safe
You know i love you more
From far away
Now that all i need is God.
Hey little girl
Do you still have things
That haunt you
Are all the words I said unclear
You know I was there
Just a while ago so miserable
Until i told the truth and prayed
And the killer eyes that invite me
To things I would have to lie about
(Just lost their sparkle)
And its better now we are safe
You know i love you more from far away
Now that all I need is God.
Inside of my heart
Is an army of angels waiting for war...
The killer eyes that invite me to do things
I would have to lie about
(Lost their sparkle)
And its better now
We are safe you know i love you more from far away
Now that all I need is...
Inside of my heart is an army of angels
Inside of my heart is an army of angels
Inside of my heart is an army of angels
Inside of my heart is an army of angels...
I need you so much I am dust without you
I'd lose all the universe just to have you
I need you so much I am dust without you
I'd lose all the universe just to have you.
Barbie's chuckles (hahaha)",
Never Work For Free,Tennis,"art pop,chillwave,denver indie,indie pop,indie rock,indie surf,shimmer pop","Alaina Moore, Patrick Riley","I'll never work for free
No I can't give up
It never belongs to me
I'll never work for free
Like an incantation I've been repeating
Looking back from the outer edge I'm still the same
Looking back from the outer edge I've changed my name
Just to stay the same
Just to stay the same
Fell in love with the traveling man
I'll make him mine
Do whatever I can
Fell in love with the traveling man
I'll make him mine
Do whatever I can
Got me looking for love
Got me looking for love
Little sympathy
Cause a long way back never comes easily
Even a young girl knows
That the first sign of love falls flat where the cold wind blows
A single syllable contains my history
Never know one word could mean so much to me
Fell in love with the traveling man
I'll make him mine
Do whatever I can
Fell in love with the traveling man
I'll make him mine
Do whatever I can
Touching me with such sweet blindness
Hiding where our past can't find us
Need to find you another door
Oh baby I need more
I can't live on metaphors
Oh baby I need more
Fell in love with the traveling man
Gonna make you mine
Do whatever I can
Fell in love with the traveling man
Gonna make him mine
Do whatever I can
You got me looking for love
You got me looking for love",
So Pure,Alanis Morissette,"canadian pop,canadian singer-songwriter,lilith,pop rock,singer-songwriter",Alanis Morissette,"You're from New York, you are so relevant
You reduce me to cosmic tears
Luminous, more so than most anyone
Unapologetically alive
Knot in my stomach
And lump in my throat
I love you when you dance
When you freestyle in trance
So pure, such an expression
I love you when you dance
When you freestyle in trance
So pure, such an expression
Supposed former infatuation junkie
I sink three pointers and you wax poetically
I love you when you dance
When you freestyle in trance
So pure, such an expression
I love you when you dance
When you freestyle in trance
So pure, such an expression
Let's grease the wheel over tea
Let's discuss things in confidence
Let's be outspoken, let's be ridiculous
Let's solve the world's problems
I love you when you dance
When you freestyle in trance
So pure, such an expression
I love you when you dance
When you freestyle in trance
So pure, such an expression",
Dig,Incubus,"alternative metal,alternative rock,funk metal,funk rock,nu metal,pop rock,post-grunge,rock","Christopher Kilmore,Brandon Charles Boyd,Michael Aaron Einziger,Benjamin Lee Kenney,Jose Anthony Pasillas","We all have a weakness
But some of ours are easy to identify
Look me in the eye
And ask for forgiveness
We'll make a pact to never speak that word again
Yes, you are my friend
We all have something that digs at us
At least we dig each other
So when weakness turns my ego up
I know you'll count on the me from yesterday
If I turn into another
Dig me up from under what is covering
The better part of me
Sing this song
Remind me that we'll always have each other
When everything else is gone
We all have a sickness
That cleverly attaches and multiplies
No matter how we try
We all have someone that digs at us
At least we dig each other
So when sickness turns my ego up
I know you'll act as a clever medicine
If I turn into another
Dig me up from under what is covering
The better part of me
Sing this song
Remind me that we'll always have each other
When everything else is gone
Oh, each other when everything else is gone
Oh, oh, oh, oh, oh, oh, oh, oh
Oh, oh, oh, oh, oh, oh
If I turn into another
Dig me up from under what is covering
The better part of me
Sing this song
Remind me that we'll always have each other
When everything else is gone
Oh, each other when everything else is gone
Oh, each other when everything else is gone",
Magic Man,Heart,"album rock,classic rock,hard rock,heartland rock,mellow gold,new wave pop,rock,soft rock","Nancy Wilson, Ann Wilson","Cold, late night so long ago
When I was not so strong you know
A pretty man came to me
I never seen eyes so blue
You know, I could not run away it seemed
We'd seen each other in a dream
Seemed like he knew me, he looked right through me, yeah
""Come on home, girl"" he said with a smile
""You don't have to love me yet, let's get high awhile
But try to understand, try to understand
Try, try, try to understand, I'm a magic man""
Winter nights we sang in tune
Played inside the months of moon
""Never think of never let this spell last forever""
Well, summer lover passed to fall
Tried to realize it all
Mama says she's worried, growing up in a hurry
""Come on home, girl"" Mama cried on the phone
""Too soon to lose my baby yet, my girl should be at home""
But try to understand, try to understand
Try, try, try to understand, he's a magic man, Mama, ah
He's a magic man
""Come on home, girl"" he said with a smile
""I cast my spell of love on you, a woman from a child""
But try to understand, try to understand
Oh, oh, try, try, try to understand,
He's a magic man, oh, he's got the magic hands
Oh's over top
""Come on home, girl"" he said with a smile
""You don't have to love me yet, let's get high awhile""
But try to understand, try to understand
Try, try, try to understand, he's a magic man, yeah, oh",
Unforgivable Sinner,Lene Marlin,norwegian pop,Lene Marlin,"Kinda lose your sense of time
'Cause the days don't matter no more
All the feelings that you hide
Gonna tear you up inside
You hope she knows you tried

Follows you around all day
And you wake up soaking wet
'Cause between this world and eternity
There is a face you hope to see

You know where you've sent her
You sure know where you are
You're trying to ease off
But you know you won't get far
And now she's up there
Sings like an angel
But you can't hear those words
And now she's up there
Sings like an angel
Unforgivable Sinner

You've been walking around in tears
No answers are there to get
You won't ever be the same
Someone cries and you're to blame

Struggling with a fight inside
Sorrow you'll defeat
The picture you see it won't disappear
Not unpleasant dreams or her voice you hear

You know where you've sent her
You sure know where you are
You're trying to ease off
But you know you won't get far
And now she's up there
Sings like an angel
But you can't hear those words
And now she's up there
Sings like an angel
Unforgivable Sinner

Maybe one time lost
But now you're found
Stand right up before
You hit the ground
Maybe one time lost
But now you're found
Stand right up before
You hit the ground - hit the ground

You know where you've sent her
You sure know where you are
You're trying to ease off
But you know you won't get far
And now she's up there
Sings like an angel
But you can't hear those words
And now she's up there
Sings like an angel
Unforgivable Sinner",
I Should've Never Let You Go,Bardot,"australian pop,europop","Hinda Hicks,Lotti Golden,Tommy Faragher","Oh, Oh, Oh, Oh, Oh, I, Oh, Oh, Oh, I.
Oh, Oh, Oh, Oh, Oh, I, Oh, Oh, Oh, I.
Seems we played a game, but lost along the way,
Somewhere we went wrong, I didn't have a clue.
Should've never let you go, baby don't you know,
It was all in my mind, was I such a fool.
To let you get away and now everyday,
There's nothing to defend.
My head was in the clouds and when I look around,
I won't give up - till you come back again..
If I could turn back time, I never would've thought,
That I could lose you boy but now I know, I should've never let you go.
If I could have one wish, I'll be the first to tell you,
This is never what I wanted, no, I should've never let you go.
Oh, Oh, Oh, Oh, Oh, I, Oh, Oh, Oh, I.
I was confident, thought you were content,
How did we go wrong and now what can I do?
Should've never let you go, baby don't you know,
My tears are on the inside, how can it be true.
I let you get away, and now everyday,
There's nothing to defend.
My head was in the clouds and when I look around,
I won't give up - till you come back again.
If I could turn back time, I never would've thought,
That I could lose you boy but now I know, I should've never let you go.
If I could have one wish, I'll be the first to tell you,
This is never what I wanted, no, I should've never let you go.
Oh, Oh, Oh, Oh, Oh, , Oh, Oh, Oh, I no, no, no.
I should've never let you go.
Oh, Oh, Oh, Oh, Oh, , Oh, Oh, Oh,
I should've never, should've never let you go,
I should've never let you go.
Should've never, should've never let you go, let you go.
Oh baby, oh baby, don't you know, don't you know,
I won't give up, no, no, no - till you come back again.
If I could turn back time, I never would've thought,
That I could lose you boy but now I know, I should've never let you go.
If I could have one wish, I'll be the first to tell you,
This is never what I wanted, no, I should've never let you go.
If I could turn back time, I never would've thought,
That I could lose you boy but now I know, I should've never let you go.
If I could have one wish, I'll be the first to tell you,
This is never what I wanted, no, I should've never let you go.",
That Girl (Will Never Be Mine),*NSYNC,"boy band,dance pop,post-teen pop","Andreas Carlsson,Kristian Lundin,Jacob Schulze","That girl will never be mine
First time
I saw her at the front door
That girl
Her face on every billboard
Hands down
You won't believe the way she laid her eyes on me
Six feet
What was I thought I got I'd get for
So fly
We got into a small talk
Too bad
She had to move along
One smile and she was gone
Can't explain
I never thought that I was gonna loose my head
Call me insane
There's got to be a way
How can I get next to her?
Now, tell me how it's gonna be done
Will I win or lose this one?
Don't care about the fact
She's in a different league
They say it's no use that I try
That girl will never be mine
Next thing
She's livin' in my TV
And that girl
Is stealin' every daydream
Tough love
She had to be the one for me
When I just sing away
Last night ran into a big thing
Guess what
She didn't want to see me
They said I was outta line
Who's wrong, who's right this time?
Can't explain
I never thought that I was gonna lose my head
Call me insane
There's got to be a way
How can I get next to her?
Now, tell me how it's gonna be done
Will I win or lose this one?
Don't care about the fact
She's in a different league
They say it's no use that I try
That girl will never be mine
That girl
Is freakin' me out
Don't care about the fact
That she's all that
That girl
Is pullin' out the down
There's no way for me to stop
That girl
Tearin' up the big screen
That girl
Stealin' every daydream
Tough love
She had to be the one for me
She will be mine
No matter what they try to say
There's got to be a way
How can I get next to her?
Now, tell me how it's gonna be done
Will I win or lose this one?
Don't care about the fact
She's in a different league
They say it's no use that I try
They say it's no use that I try
That girl will never be mine",
You Were Mine,The Chicks,"country,country dawn","Emily Robison, Martie Mcguire","I can't find a reason to let go
Even though you've found a new love
And she's what your dreams are made of
I can find a reason to hang on
What went wrong can be forgiven
Without you, it ain't worth livin' alone
Sometimes I wake up crying at night
And sometimes I scream out your name
What right does she have to take you away
When for so long, you were mine?
I took out all the pictures of our wedding day
It was a time of love and laughter
Happy ever after
But even those old pictures have begun to fade
Please tell me she's not real
And that you're really coming home to stay
Sometimes I wake up crying at night
And sometimes I scream out your name
What right does she have to take your heart away
When for so long, you were mine?
I can give you two good reasons
To show you love's not blind
He's two and she's four, and you know they adore you
So how can I tell them you've changed your mind?
Sometimes I wake up crying at night
And sometimes I scream out your name
What right does she have to take your heart away
When for so long, you were mine?
I remember when you were mine",
Caught a Lite Sneeze,Tori Amos,"art pop,ectofolk,lilith,melancholia,new wave pop,permanent wave,piano rock,pop rock,singer-songwriter",Tori Amos,"Caught a lite sneeze caught a lite breeze
Caught a lightweight lightningseed
Boys on my left side
Boys on my right side
Boys in the middle
And you're not here I need a big loan
From the girl zone
Building
Tumbling down
Didn't know our love was so small
Couldn't stand at all
Mr St. John just bring your son
The spire is hot
And my cells can't feed
And you still got that Belle dragging your foots
I'm hiding it well Sister Ernestine
But I still got that Belle
Dragging my foots
Right on time you get closer
And closer
Called my name but there's no way in
Use that fame
Rent your wife and kids today
Maybe she will
Maybe she will caught a lite sneeze
Dreamed a little dream
Made my own pretty hate machine
Boys on my left side
Boys on my right side
Boys in the middle and you're not here
Boys in their dresses
And you're not here
I need a big loan from the girl zone",
6am,Fitz and The Tantrums,"indie poptimism,la indie,modern alternative rock,modern rock,pop rock,rock","James Midhi King, Jeremy Ruzumna, John Meredith Wicks, Joseph Scott Karnes, Michael Fitzpatrick, Noelle Scaggs","Girl, I get tired of sleeping alone in my bed
I really need you now
I've been trying to get back the days that we had
But see, I don't know how
There's no way to conceive the right plans in my head
I just can't hold them down
All my hopes they stay curled in between these four walls,
And I can't shake them out
It's 6 in the morning, I'm still awake
My sleepless heart is torn up, babe
A love song's on the radio,
But these words I hear they're not for me, no
It's 6 in the morning, I'm still awake
My sleepless heart is torn up, babe
A love song's on the radio,
But these words I hear they're not for me, no
I'm tryna keep up, tryna move on
Beyond this pain before I break
See it's hard to confess, but I miss all the time we spent
I can't explain
'Cause when I start up the nerve to reach out to you, baby,
It just floats away
Still I dream of the days when we were on the same page
I really want them now
All my hopes they stay curled in between these four walls,
And I can't shake them out
It's 6 in the morning, I'm still awake
My sleepless heart is torn up, babe
A love song's on the radio,
But these words I hear they're not for me, no
It's 6 in the morning, I'm still awake
My sleepless heart is torn up, babe
A love song's on the radio,
But these words I hear they're not for me, no
I'm tryna keep up, tryna move on beyond this pain, before I break
It's 6 in the morning, I'm still awake
My sleepless heart is torn up, babe
A love song's on the radio,
But these words I hear they're not for me, no
6 in the morning, I'm still awake
My sleepless heart is torn up, babe
A love song's on the radio,
But these words I hear they're not for me, no
Not for me (no)
Not for me (no)
Not for me (no)
Not for me (no)
Not for me
Not for me, no (no)
Not for me
Not for me, no",
After the Disco,Broken Bells,"alternative dance,alternative rock,indie pop,indie rock,indietronica,la indie,modern alternative rock,modern rock,new rave,rock,shimmer pop",,,
